Name,Distinction,Cuisine
Temporis,1 Star,Contemporary
Birrieria Zaragoza,Bib Gourmand,Mexican
Coda Di Volpe, ,Italian
Alla Vita, ,Italian
Moody Tongue,2 Stars,Contemporary
St. Clair Supper Club, ,American
Lardon,Bib Gourmand,Deli
WoodWind, ,American
Union,Bib Gourmand,American
Chicago Cut, ,Steakhouse
Ina Mae,Bib Gourmand,Southern
Bavette’s Bar & Boeuf, ,Steakhouse
Alinea,3 Stars,Creative
Parachute, ,Korean
Les Nomades, ,French
Atelier,1 Star,American
The Coach House by Wazwan, ,South
Avli on the Park, ,Greek
Rooh, ,Indian
Roister, ,Contemporary
Momotaro, ,Japanese
Schwa,1 Star,Contemporary
Munno Pizzeria & Bistro,Bib Gourmand,Pizza
Omakase Yume,1 Star,Japanese
The Izakaya at Momotaro, ,Japanese
Tortello Pastificio,Bib Gourmand,Italian
Arami, ,Japanese
Giant,Bib Gourmand,American
Osteria Langhe, ,Italian
RPM Steak, ,Steakhouse
Bar Mar, ,Seafood
EL Ideas,1 Star,Contemporary
Elske,1 Star,Contemporary
Kumiko, ,Japanese
Blue Door Kitchen & Garden, ,American
Ceres’ Table, ,Italian
Mango Pickle,Bib Gourmand,Indian
Longman & Eagle,Bib Gourmand,Gastropub
Valhalla, ,Contemporary
Pompette,Bib Gourmand,Contemporary
Jinsei Motto, ,Asian
County Barbecue, ,Barbecue
Sepia,1 Star,American
The Gundis, ,Central
Azul Mariscos + Muelle, ,Seafood
Ever,2 Stars,Creative
Ciccio Mio,Bib Gourmand,Italian
Apolonia,Bib Gourmand,Contemporary
Kasama,1 Star,Filipino
The Publican, ,Gastropub
Frontera Grill,Bib Gourmand,Mexican
Pleasant House Pub,Bib Gourmand,Gastropub
avec,Bib Gourmand,Mediterranean
Hugo’s Frog Bar & Fish House, ,American
Luella’s Southern Kitchen, ,Southern
Prime & Provisions, ,Steakhouse
Chilam Balam,Bib Gourmand,Mexican
Sol de Mexico,Bib Gourmand,Mexican
North Pond, ,Contemporary
Demera, ,Ethiopian
Cabra,Bib Gourmand,Peruvian
Beatnik, ,Fusion
Superkhana International,Bib Gourmand,Indian
Big Jones, ,Southern
Tied House, ,Contemporary
Sticky Rice, ,Thai
Boka,1 Star,Contemporary
Mi Tocaya,Bib Gourmand,Mexican
The Purple Pig,Bib Gourmand,Mediterranean
"Table, Donkey and Stick",Bib Gourmand,Austrian
The Gage, ,Gastropub
Goosefoot, ,Contemporary
Juno, ,Japanese
Marisol, ,American
The Duck Inn,Bib Gourmand,Gastropub
HaiSous,Bib Gourmand,Vietnamese
Virtue,Bib Gourmand,Southern
Carnitas Uruapan, ,Mexican
Daisies,Bib Gourmand,Italian
Maple & Ash, ,Steakhouse
Eleven City Diner, ,Deli
Dolo, ,Chinese
Mordecai, ,American
Lula Cafe,Bib Gourmand,American
mfk.,Bib Gourmand,Spanish
Bangers & Lace, ,Gastropub
Coalfire, ,Pizza
Tiny Lou's, ,French
The Deer and the Dove, ,Contemporary
Delbar, ,Middle
The Chastain, ,American
LanZhou Ramen, ,Chinese
Chai Pani, ,Indian
Lyla Lila, ,European
Xi'an Gourmet House, ,Chinese
Food Terminal, ,Malaysian
The Busy Bee,Bib Gourmand,Southern
Miller Union, ,American
Fred's Meat & Bread,Bib Gourmand,American
Heirloom Market BBQ,Bib Gourmand,Barbecue
Marcel, ,Steakhouse
Han Il Kwan, ,Korean
Hayakawa,1 Star,Japanese
Bacchanalia,1 Star,American
Gunshow, ,American
Mujō,1 Star,Japanese
The General Muir, ,Deli
Antico Pizza Napoletana,Bib Gourmand,Pizza
Estrellita,Bib Gourmand,Filipino
Lazy Betty,1 Star,Contemporary
Ticonderoga Club, ,Contemporary
Arepa Mia,Bib Gourmand,Small
Little Bear,Bib Gourmand,Contemporary
The Alden, ,American
Snackboxe Bistro, ,Lao
Kamayan ATL, ,Filipino
Home Grown, ,American
Nam Phuong, ,Vietnamese
Fishmonger,Bib Gourmand,Seafood
The White Bull, ,American
Tomo, ,Japanese
